ticker,mean_price,mean_return,variance,volatility,beta,jensen_alpha
AC,33.483466471234884,0.0002589553163034088,0.00069754042134664,0.026410990540807817,1.2893641491664478,0.0027536863904289877
ACA,11.72697178453646,0.0001818740534281722,0.0008549088934171872,0.029238825103228536,1.4564992488406205,0.004296246967933769
AI,75.15186577500917,0.00037207779673098035,0.00022951015626843172,0.01514959261064243,0.7775081952641767,-0.002093389919247447
AIR,35.449099303774275,0.0007318599937973654,0.00049269411314531,0.02219671401683839,0.9555638679334119,-8.13881747877774e-06
ATO,54.707916819347744,0.0006491173610650477,0.00041709328821330874,0.020422861900657036,0.8530916797406934,-0.001083899935231743
BN,52.86714181018688,0.0001732849186382196,0.00021229530641831432,0.014570357113616478,0.5821939503492135,-0.004184897874563382
BNP,52.0842048369366,0.0003175545242581219,0.0007305158701272798,0.027028057091239094,1.378570174980344,0.003676746816307835
CA,29.070098937339687,-0.00021036463037603866,0.0003833045601597218,0.01957816539310366,0.8759174350662272,-0.0017221863284078152
CAP,49.972557713448154,0.00047426181355548163,0.00045547048363605316,0.02134175446480568,1.0305513003813127,0.0004609373114583256
CS,18.426222425796997,0.0002991797663211706,0.0007366989453460452,0.027142198609288178,1.4880778426439647,0.004719568663609376
DG,47.21476364968853,0.00037234545615040765,0.00038612300214661615,0.019650012777263432,1.0906615131799844,0.0009415258609978187
EI,70.23928178820081,0.00044197625368006606,0.00020588463315246192,0.01434868053698534,0.509633456480116,-0.004619362322227473
EN,33.30363869549286,0.00015563357073351193,0.00048274024534173055,0.021971350557981877,1.0580800441301579,0.00040907951527294466
ENGI,22.739983510443384,-0.00010952989612939706,0.0003715715206972705,0.01927619051309855,0.8520415311681117,-0.0018527237775365847
FP,43.55122022718945,0.00012752741666632232,0.0002866993421753171,0.016932198385777232,0.8498060661944,-0.0016373294942971092
FR,23.231080908757786,0.0008891813690781751,0.0006304803118561813,0.025109367014247517,1.2430942279534074,0.0029355284682408517
FTI,29.92559384164223,0.00028363705183339955,0.0006130286633483783,0.024759415650381943,1.0602194181763736,0.0005566108987346887
GLE,45.57137944301942,0.00013958305587361965,0.0009233880505884372,0.030387300811168427,1.494456612222143,0.0046217861508922944
KER,138.2689410040308,0.0006823354535603227,0.0004434353689090169,0.021057905140564596,1.027452134135903,0.0006389781257362892
LHN,47.28007272727273,1.375219184157283e-05,0.0003755495885347986,0.019379101850570853,1.2946586397783564,0.0022973823109829735
LR,34.07475448882375,0.000523383111652622,0.00033349511188629375,0.018261848534206326,0.8756087348686573,-0.00099143008102685
MC,120.9611670941737,0.0005843288821720205,0.00034411947855715304,0.01855045763740488,0.9614226498323767,-9.889473157994184e-05
ML,72.21062293880543,0.00043605808079970294,0.0004895932794773774,0.022126754833851653,1.1008000526213886,0.0011034871641811487
MT,58.11079552949798,-6.010217798467771e-05,0.0009889268819754692,0.031447207856588305,1.4745324959023882,0.004229023984139694
OR,111.2641407108831,0.00044269393407488165,0.0002296329056685488,0.015153643313360282,0.6768885497015757,-0.0029978399902290216
ORA,14.865935141077319,1.0040645201056902e-05,0.00027418498418243495,0.01655853206605087,0.6804047320312568,-0.0033964193112130457
PUB,44.89692378160498,0.0003075566737291877,0.0002667657779871132,0.016332965988671903,0.7310752596676253,-0.002607874726780231
RI,80.89064763649688,0.00032946389696063733,0.00027122896488127355,0.016469030477877972,0.6644198598309767,-0.003231899295692728
RNO,58.235514840600956,0.0003597723285047431,0.0007404758653027001,0.027211686189993815,1.4093667631082396,0.004017402487705815
SAF,36.60229388054232,0.0008397452965918442,0.00044286705755719935,0.021044406799841125,0.8721644278159942,-0.0007084453483671594
SAN,65.17482777574202,0.00022408293131016084,0.00026226340163029087,0.016194548515790455,0.6554535842446135,-0.0034241689826253435
SGO,40.218744961524365,0.00018270966262790386,0.0005827662113804199,0.024140551182200043,1.3351474229216482,0.0031211087987467663
SOLB,96.72523352247927,0.0002660882655416522,0.00038300296984471394,0.019570461666621814,0.8299926423093096,-0.0017413679885999642
STM,7.430335287651155,0.0004238748599275593,0.0006011015021997795,0.02451737143740698,1.0521349478434514,0.000619709167475064
SU,51.394206669109565,0.0004346136441122433,0.000485017770577436,0.022023119002026848,1.2115086257921712,0.0021748768451968583
SW,65.26520886771712,0.0003861074257752097,0.00022676057072030728,0.015058571337291838,0.640351529950902,-0.003408492676287564
UG,19.35309747160132,0.0002508369748576291,0.001121480789641283,0.03348851728042439,1.4509094271708367,0.004311041081768087
UL,178.33475998534263,0.0001483818021677436,0.0003019816010004575,0.017377617817193977,0.7896474090544986,-0.002199449471181622
VIE,21.913426163429826,-0.00011741669790538381,0.00046289895779216063,0.021515086748422854,0.8951389499724364,-0.0014429701025728352
VIV,20.036113961157934,8.949544968466116e-06,0.0002815014713104988,0.016778005582026096,0.7597520749501833,-0.0026285858901152217
